Banco;Red;Direccion;Terminales;Web;Actualización;Lon;Lat
Banco Galicia;Banelco;24 DE NOVIEMBRE 791;1;http://www.banelco.com/;mar-15;-58.411.047.852.463.800;-3.462.021.992.508.930
Banco Santander Río;Banelco;25 DE MAYO 140;4;http://www.banelco.com/;mar-15;-58.371.108.291.277.400;-3.460.611.379.518.250
HSBC Argentina;Banelco;25 DE MAYO 299;2;http://www.banelco.com/;mar-15;-58.370.791.922.326.800;-34.604.272.044.872.200
Banco Supervielle;Banelco;AGUERO 616;1;http://www.banelco.com/;mar-15;-58.411.617.189.145.800;-34.602.717.672.780.700
HSBC Argentina;Banelco;AGUERO 628;1;http://www.banelco.com/;mar-15;-58.411.593.297.969.700;-34.602.622.149.706.500
Citibank;Banelco;ALBERDI, JUAN BAUTISTA AV. 1555;1;http://www.banelco.com/;mar-15;-58.450.265.861.555.900;-34.626.365.622.600.900
Banco Santander Río;Banelco;MOREAU DE JUSTO, ALICIA AV. 1370;2;http://www.banelco.com/;mar-15;-58.365.951.357.409.600;-34.614.143.408.887.100
Banco Santander Río;Banelco;MOREAU DE JUSTO, ALICIA AV. 164;2;http://www.banelco.com/;mar-15;-58.367.285.908.908.700;-34.600.337.671.819.500
BBVA-Banco Francés;Banelco;MOREAU DE JUSTO, ALICIA AV. 840;1;http://www.banelco.com/;mar-15;-58.366.489.976.503.600;-34.607.301.591.352.600
Banco Santander Río;Banelco;ALSINA, ADOLFO 1338;2;http://www.banelco.com/;mar-15;-5.838.530.031.360.450;-34.611.217.537.290.300
Banco Santander Río;Banelco;ALVEAR AV. 1301;2;http://www.banelco.com/;mar-15;-58.383.049.866.238.800;-34.591.389.967.753.100
HSBC Argentina;Banelco;ANTARTIDA ARGENTINA AV. y PY, COMODORO, AV.;1;http://www.banelco.com/;mar-15;-5.837.053.244.858.730;-34.589.412.229.211.700
Banco Santander Río;Banelco;ARCE 940;2;http://www.banelco.com/;mar-15;-58.437.215.531.441.600;-34.567.437.438.952.400
Banco Santander Río;Banelco;ASUNCION 4193;2;http://www.banelco.com/;mar-15;-58.513.000.229.752.100;-34.601.894.658.002.400
ICBC;Banelco;SANTA FE AV. 2265;2;http://www.banelco.com/;mar-15;-58.399.454.607.616.600;-34.595.020.062.499.600
BBVA-Banco Francés;Banelco;ASAMBLEA AV. 695;1;http://www.banelco.com/;mar-15;-58.435.686.698.164.700;-34.634.434.772.587.700
HSBC Argentina;Banelco;CABILDO AV. 2453;1;http://www.banelco.com/;mar-15;-58.459.351.643.550.200;-34.558.624.130.147.500
ICBC;Banelco;CABILDO AV. 3223;1;http://www.banelco.com/;mar-15;-58.465.096.042.260.400;-34.552.469.415.239.400
Banco Santander Río;Banelco;CALLAO AV. 1690;2;http://www.banelco.com/;mar-15;-58.390.237.308.983.800;-34.590.002.671.688.400
HSBC Argentina;Banelco;CORRIENTES AV. 3247;1;http://www.banelco.com/;mar-15;-58.411.015.285.711.500;-3.460.387.063.065.870
Citibank;Banelco;DE LOS CONSTITUYENTES AV. 6020;3;http://www.banelco.com/;mar-15;-58.505.728.962.823.100;-34.572.143.286.332.300
ICBC;Banelco;DEL LIBERTADOR AV. 7468;1;http://www.banelco.com/;mar-15;-5.845.965.178.535.730;-34.545.079.842.558.300
Citibank;Banelco;DIRECTORIO AV. 4311;1;http://www.banelco.com/;mar-15;-58.484.795.007.930.200;-34.645.226.676.799.400
Banco Patagonia;Banelco;CASTRO, EMILIO AV. 7325;1;http://www.banelco.com/;mar-15;-58.520.611.069.708.800;-3.465.416.724.451.300
Banco Macro;Banelco;LACROZE, FEDERICO AV. 3825;2;http://www.banelco.com/;mar-15;-58.453.131.396.611.000;-34.583.513.016.657.400
Banco Galicia;Banelco;GAONA AV. 3496;1;http://www.banelco.com/;mar-15;-58.473.988.177.311.200;-34.620.605.975.538.300
Banco Galicia;Banelco;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4602;2;http://www.banelco.com/;mar-15;-5.846.038.311.004.970;-34.675.059.889.892.200
Banco Galicia;Banelco;MOSCONI GENERAL AV. 2340;3;http://www.banelco.com/;mar-15;-58.495.703.605.190.400;-34.582.498.544.622.700
BBVA-Banco Francés;Banelco;MOSCONI GENERAL AV. 2816;1;http://www.banelco.com/;mar-15;-58.501.109.823.177.900;-34.585.845.702.387.300
ICBC;Banelco;JUSTO, JUAN B. AV. 4710;1;http://www.banelco.com/;mar-15;-58.465.197.146.547.200;-34.610.116.699.986.900
Citibank;Banelco;DEL LIBERTADOR AV. 2728;1;http://www.banelco.com/;mar-15;-58.408.159.367.018.900;-34.578.452.543.292.500
HSBC Argentina;Banelco;DEL LIBERTADOR AV. 750;1;http://www.banelco.com/;mar-15;-58.383.499.030.651.900;-34.588.164.705.153.100
Banco Galicia;Banelco;DE LA TORRE, LISANDRO AV. 2406;1;http://www.banelco.com/;mar-15;-58.499.756.017.573.000;-34.662.696.928.984.300
Banco Itaú;Banelco;MONTES DE OCA, MANUEL 1022;1;http://www.banelco.com/;mar-15;-58.374.149.935.040.900;-34.639.885.787.423.600
